Scale,Method,SP,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Country,TES,inverse gdp,70000000,13100000,5360000,53200000,60600000,13100000,7790000,9550000,4290000,78300000,83700000,22600000,10700000,13100000,8890000,9860000,27500000,61800000,38600000,9550000,8860000,37000000,16800000,84600000,20500000,29000000,6800000,8710000,14700000,6910000,17500000,30000000,79400000,10800000,20000000,25000000,38300000,36300000,10700000,52500000,12200000,31200000,112000000,11200000,24600000,45800000,32800000,32700000,27600000,22000000
World,TES,inverse gdp,67900000,5740000,3990000,49700000,60400000,11800000,6150000,3220000,958000,77800000,82900000,16500000,10100000,11800000,6550000,7270000,25300000,60100000,31400000,8450000,8020000,36100000,15500000,80700000,19100000,20000000,3260000,5870000,9240000,6170000,13000000,29700000,78500000,3280000,19300000,23000000,36300000,35800000,3200000,50500000,3550000,30000000,112000000,8540000,11000000,44900000,31900000,27000000,26300000,11500000
"Country, World",TES,inverse gdp,70500000,15100000,5740000,54200000,60700000,13400000,8250000,11300000,5210000,78400000,83900000,24300000,10800000,13400000,9540000,10600000,28100000,62300000,40500000,9860000,9090000,37300000,17100000,85700000,20900000,31400000,7780000,9500000,16200000,7120000,18700000,30000000,79600000,12900000,20200000,25600000,38800000,36500000,12800000,53000000,14600000,31600000,112000000,12000000,28300000,46000000,33000000,34300000,28000000,24900000
,PB,inverse gdp,1170000,4120000,767000,1980000,92100,701000,919000,3550000,1870000,254000,441000,3410000,298000,699000,1310000,1450000,1210000,979000,4020000,621000,470000,494000,690000,2210000,801000,5030000,1990000,1600000,3040000,418000,2510000,159000,463000,4220000,383000,1160000,1130000,325000,4230000,1130000,4850000,721000,138000,1510000,7600000,486000,486000,3190000,766000,5850000
Country,TES,demand,72100000,5050000,7060000,51800000,76000000,15700000,7050000,2010000,160000,86900000,88100000,16000000,19000000,19300000,10300000,10200000,30000000,67900000,30000000,10500000,10300000,42200000,19500000,82500000,24100000,19200000,5420000,6550000,8270000,10200000,14400000,36500000,83200000,4100000,27700000,27200000,37500000,44600000,1480000,52800000,2580000,34000000,142000000,10200000,7530000,49100000,35100000,29600000,30200000,11600000
World,TES,demand,96200000,11700000,24200000,66900000,153000000,36600000,13700000,4690000,782000,133000000,115000000,21800000,64000000,58300000,32100000,28600000,56200000,109000000,33200000,22400000,22800000,73400000,40800000,97000000,50900000,27500000,21000000,13900000,10900000,31300000,27400000,70800000,108000000,18500000,70400000,50800000,46200000,89400000,3340000,67000000,9700000,55600000,289000000,22300000,8940000,70900000,51900000,50800000,51500000,26300000
"Country, World",TES,demand,101000000,13100000,27700000,70000000,169000000,40900000,15100000,5220000,908000,142000000,120000000,22900000,73000000,66100000,36500000,32300000,61500000,118000000,33900000,24700000,25400000,79700000,45000000,99900000,56200000,29100000,24200000,15400000,11400000,35600000,30000000,77700000,113000000,21500000,79000000,55600000,48000000,98400000,3710000,69900000,11100000,59900000,319000000,24700000,9230000,75300000,55300000,55000000,55700000,29300000
,PB,demand,58400000,16300000,41700000,36800000,188000000,50900000,16300000,6500000,1510000,111000000,65000000,14100000,109000000,94600000,52900000,44600000,63800000,100000000,7750000,28800000,30400000,75900000,51700000,35200000,65000000,20200000,37900000,17800000,6340000,51300000,31500000,83400000,59600000,35100000,104000000,57500000,21300000,109000000,4500000,34600000,17300000,52500000,358000000,29300000,3420000,52900000,40800000,51300000,51700000,35700000
Country,TES,area,70200000,40400000,9910000,51600000,69500000,17300000,6010000,1610000,38000,81300000,86000000,19400000,13200000,13500000,9020000,11100000,26900000,62500000,31400000,8830000,8370000,41200000,20000000,82300000,22600000,25600000,6550000,11200000,8260000,6440000,18500000,32600000,81300000,5100000,21600000,26300000,41100000,38100000,1200000,51700000,5420000,31900000,127000000,12500000,7780000,47100000,35600000,26700000,29500000,14000000
World,TES,area,77100000,128000000,24800000,58600000,90900000,30900000,6740000,1930000,46900,89900000,93800000,30300000,20800000,18300000,16400000,21900000,32300000,69400000,36000000,10500000,9760000,53900000,31400000,88600000,31700000,44900000,16700000,25700000,9480000,7590000,34500000,39700000,88300000,14400000,27500000,35400000,54100000,44200000,1400000,55900000,15500000,37400000,162000000,23600000,9040000,52700000,45000000,29900000,38100000,26900000
