Scale,Method,SP,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
"Local, National",TES,Inverse of GDP,7.84509804001426,7.11727129565576,6.72916478969277,7.72591163229505,7.78247262416629,7.11727129565576,6.89153745767256,6.98000337158375,6.63245729218472,7.89376176205794,7.92272545799326,7.3541084391474,7.02938377768521,7.11727129565576,6.94890176097021,6.99387691494121,7.43933269383026,7.79098847508882,7.58658730467175,6.98000337158375,6.94743372188705,7.568201724067,7.22530928172586,7.92737036303902,7.31175386105575,7.46239799789896,6.83250891270624,6.94001815500766,7.16731733474818,6.8394780473742,7.24303804868629,7.47712125471966,7.89982050242709,7.03342375548695,7.30102999566398,7.39794000867204,7.58319877396862,7.55990662503611,7.02938377768521,7.72015930340596,7.08635983067475,7.49415459401844,8.04921802267018,7.04921802267018,7.39093510710338,7.66086547800387,7.51587384371168,7.51454775266029,7.44090908206522,7.34242268082221
"Local, Worldwide",TES,Inverse of GDP,7.8318697742805,6.75891189239797,6.60097289568675,7.69635638873333,7.78103693862113,7.07188200730612,6.78887511577542,6.50785587169583,5.98136550907854,7.89097959698969,7.91855453055027,7.21748394421391,7.00432137378264,7.07188200730612,6.81624129999178,6.86153441085904,7.40312052117582,7.77887447200274,7.49692964807321,6.92685670894969,6.90417436828416,7.55750720190566,7.19033169817029,7.90687353472207,7.28103336724773,7.30102999566398,6.51321760006794,6.76863810124761,6.96567197122011,6.79028516403324,7.11394335230684,7.47275644931721,7.89486965674525,6.51587384371168,7.28555730900777,7.36172783601759,7.55990662503611,7.55388302664387,6.50514997831991,7.70329137811866,6.55022835305509,7.47712125471966,8.04921802267018,6.931457870689,7.04139268515823,7.65224634100332,7.50379068305718,7.43136376415899,7.41995574848976,7.06069784035361
"Local, National, Worldwide",TES,Inverse of GDP,7.8481891169914,7.17897694729317,6.75891189239797,7.73399928653839,7.78318869107526,7.12710479836481,6.91645394854992,7.05307844348342,6.71683772329952,7.89431606268444,7.9237619608287,7.38560627359831,7.03342375548695,7.12710479836481,6.9795483747041,7.02530586526477,7.44870631990508,7.79448804665917,7.60745502321467,6.99387691494121,6.95856388322197,7.57170883180869,7.23299611039215,7.9329808219232,7.32014628611105,7.49692964807321,6.89097959698969,6.97772360528885,7.20951501454263,6.85247999363686,7.2718416065365,7.47712125471966,7.90091306773767,7.11058971029925,7.30535136944662,7.40823996531185,7.58883172559421,7.56229286445647,7.10720996964787,7.72427586960079,7.16435285578444,7.4996870826184,8.04921802267018,7.07918124604762,7.45178643552429,7.66275783168157,7.51851393987789,7.53529412004277,7.44715803134222,7.39619934709574
,PB,Inverse of GDP,6.06818586174616,6.61489721603313,5.88479536394898,6.29666519026153,4.96425963019685,5.84571801796666,5.96331551138611,6.55022835305509,6.2718416065365,5.40483371661994,5.64443858946784,6.5327543789925,5.47421626407626,5.84447717574568,6.11727129565576,6.16136800223497,6.08278537031645,5.99078269180314,6.60422605308447,5.79309160017658,5.67209785793572,5.69372694892365,5.83884909073726,6.34439227368511,5.90363251608424,6.70156798505593,6.29885307640971,6.20411998265592,6.48287358360875,5.62117628177503,6.39967372148104,5.20139712432045,5.66558099101795,6.62531245096167,5.58319877396862,6.06445798922692,6.05307844348342,5.51188336097887,6.62634036737504,6.05307844348342,6.68574173860226,5.85793526471943,5.13987908640124,6.17897694729317,6.88081359228079,5.68663626926229,5.68663626926229,6.50379068305718,5.8842287696326,6.76715586608218
"Local, National",TES,Emission,7.85793526471943,6.70329137811866,6.8488047010518,7.71432975974523,7.88081359228079,7.19589965240923,6.8481891169914,6.30319605742049,5.20411998265592,7.93901977644867,7.94497590841205,7.20411998265592,7.27875360095283,7.28555730900777,7.01283722470517,7.00860017176192,7.47712125471966,7.8318697742805,7.47712125471966,7.02118929906994,7.01283722470517,7.62531245096167,7.29003461136252,7.91645394854992,7.38201704257487,7.28330122870355,6.73399928653839,6.81624129999178,6.91750550955255,7.00860017176192,7.15836249209525,7.56229286445647,7.92012332629072,6.61278385671973,7.44247976906445,7.4345689040342,7.57403126772772,7.64933485871214,6.17026171539496,7.72263392253381,6.41161970596323,7.53147891704225,8.15228834438306,7.00860017176192,6.8767949762007,7.69108149212297,7.54530711646582,7.47129171105894,7.48000694295715,7.06445798922692
"Local, Worldwide",TES,Emission,7.98317507203781,7.06818586174616,7.38381536598043,7.82542611776782,8.1846914308176,7.56348108539441,7.13672056715641,6.67117284271508,5.89320675305985,8.12385164096708,8.06069784035361,7.3384564936046,7.80617997398389,7.76566855475901,7.50650503240487,7.45636603312904,7.74973631556906,8.03742649794062,7.52113808370404,7.35024801833416,7.35793484700045,7.86569605991607,7.61066016308988,7.98677173426624,7.70671778233676,7.43933269383026,7.32221929473392,7.14301480025409,7.03742649794062,7.49554433754645,7.43775056282039,7.85003325768977,8.03342375548695,7.26717172840301,7.84757265914211,7.70586371228392,7.66464197555613,7.95133751879592,6.52374646681156,7.82607480270083,6.98677173426624,7.74507479158206,8.46089784275655,7.34830486304816,6.95133751879592,7.85064623518307,7.71516735784846,7.70586371228392,7.71180722904119,7.41995574848976
"Local, National, Worldwide",TES,Emission,8.00432137378264,7.11727129565576,7.44247976906445,7.84509804001426,8.22788670461367,7.61172330800734,7.17897694729317,6.71767050300226,5.95808584852108,8.15228834438306,8.07918124604762,7.35983548233989,7.86332286012046,7.82020145948564,7.56229286445647,7.5092025223311,7.78887511577542,8.07188200730612,7.53019969820308,7.39269695325967,7.40483371661994,7.90145832139611,7.65321251377534,7.99956548822598,7.74973631556906,7.46389298898591,7.38381536598043,7.18752072083646,7.05690485133647,7.55144999797288,7.47712125471966,7.89042101880091,8.05307844348342,7.33243845991561,7.89762709129044,7.74507479158206,7.68124123737559,7.99299509843134,6.56937390961505,7.84447717574568,7.04532297878666,7.77742682238931,8.50379068305718,7.39269695325967,6.96520170102591,7.8767949762007,7.7427251313047,7.74036268949424,7.74585519517373,7.46686762035411
,PB,Emission,7.7664128471124,7.21218760440396,7.62013605497376,7.56584781867352,8.27415784926368,7.70671778233676,7.21218760440396,6.81291335664286,6.17897694729317,8.04532297878666,7.81291335664285,7.14921911265538,8.03742649794062,7.97589113640179,7.72345567203518,7.64933485871214,7.80482067872116,8,6.88930170250631,7.45939248775923,7.48287358360875,7.88024177589548,7.71349054309394,7.54654266347813,7.81291335664285,7.30535136944662,7.57863920996807,7.25042000230889,6.80208925788173,7.71011736511182,7.4983105537896,7.92116605063774,7.77524625974024,7.54530711646582,8.01703333929878,7.75966784468963,7.32837960343874,8.03742649794062,6.65321251377534,7.53907609879278,7.23804610312879,7.72015930340596,8.55388302664387,7.46686762035411,6.53402610605613,7.72345567203518,7.61066016308988,7.71011736511182,7.71349054309394,7.55266821611219
"Local, National",TES,Area,7.8463371121298,7.60638136511061,6.99607365448527,7.71264970162721,7.84198480459011,7.23804610312879,6.77887447200274,6.20682587603185,4.57978359661681,7.91009054559407,7.93449845124357,7.28780172993023,7.12057393120585,7.13033376849501,6.95520653754194,7.04532297878666,7.42975228000241,7.79588001734407,7.49692964807321,6.94596070357757,6.92272545799326,7.61489721603313,7.30102999566398,7.91539983521227,7.3541084391474,7.40823996531185,6.81624129999178,7.04921802267018,6.91698004732038,6.80888586735981,7.26717172840301,7.51321760006794,7.91009054559407,6.70757017609794,7.33445375115093,7.41995574848976,7.61384182187607,7.58092497567562,6.07918124604762,7.71349054309394,6.73399928653839,7.50379068305718,8.10380372095596,7.09691001300806,6.89097959698969,7.6730209071289,7.55144999797288,7.42651126136458,7.46982201597816,7.14612803567824
"Local, Worldwide",TES,Area,7.88705437805096,8.10720996964787,7.39445168082622,7.76789761601809,7.95856388322197,7.48995847942483,6.82865989653532,6.28555730900777,4.67117284271508,7.95375969173323,7.97220283837906,7.4814426285023,7.31806333496276,7.26245108973043,7.2148438480477,7.34044411484012,7.5092025223311,7.84135947045485,7.55630250076729,7.02118929906994,6.98944981766669,7.73158876518674,7.49692964807321,7.94743372188705,7.50105926221775,7.65224634100332,7.22271647114758,7.40993312333129,6.97680833733807,6.88024177589548,7.53781909507327,7.59879050676311,7.94596070357757,7.15836249209525,7.43933269383026,7.54900326202579,7.73319726510657,7.64542226934909,6.14612803567824,7.74741180788642,7.19033169817029,7.57287160220048,8.20951501454263,7.37291200297011,6.95616843047536,7.72181061521255,7.65321251377534,7.47567118832443,7.58092497567562,7.42975228000241
