,name,location,type,final demand,SP name,SP amount,ES,local demand,local supply,County,State,Country,World,Watershed
process1,17001,,Unit process,,population,66427,carbon sequestration,,689405.9605,,Illinois,United States,World,
process2,17003,,Unit process,,population,6532,carbon sequestration,,261404.4657,,Illinois,United States,World,
process3,17005,,Unit process,,population,16712,carbon sequestration,,295007.9823,,Illinois,United States,World,
process4,17007,,Unit process,,population,53606,carbon sequestration,,54911.43889,,Illinois,United States,World,
process5,17009,,Unit process,,population,6675,carbon sequestration,,411175.4057,,Illinois,United States,World,
process6,17011,,Unit process,,population,33381,carbon sequestration,,262326.5223,,Illinois,United States,World,
process7,17013,,Unit process,,population,4858,carbon sequestration,,380541.1092,,Illinois,United States,World,
process8,17015,,Unit process,,population,14562,carbon sequestration,,207361.4095,,Illinois,United States,World,
process9,17017,,Unit process,,population,12665,carbon sequestration,,225114.8346,,Illinois,United States,World,
process10,17019,,Unit process,,population,209448,carbon sequestration,,53968.32268,,Illinois,United States,World,
process11,17021,,Unit process,,population,33231,carbon sequestration,,120548.3094,,Illinois,United States,World,
process12,17023,,Unit process,,population,15836,carbon sequestration,,384434.5463,,Illinois,United States,World,
process13,17025,,Unit process,,population,13338,carbon sequestration,,304289.64,,Illinois,United States,World,
process14,17027,,Unit process,,population,37628,carbon sequestration,,152238.7509,,Illinois,United States,World,
process15,17029,,Unit process,,population,51736,carbon sequestration,,196640.7936,,Illinois,United States,World,
process16,17031,,Unit process,,population,5223719,carbon sequestration,,356032.3666,,Illinois,United States,World,
process17,17033,,Unit process,,population,19088,carbon sequestration,,326679.353,,Illinois,United States,World,
process18,17035,,Unit process,,population,10865,carbon sequestration,,205407.3024,,Illinois,United States,World,
process19,17037,,Unit process,,population,104200,carbon sequestration,,44664.9535,,Illinois,United States,World,
process20,17041,,Unit process,,population,19714,carbon sequestration,,43928.92402,,Illinois,United States,World,
process21,17045,,Unit process,,population,17539,carbon sequestration,,196415.1327,,Illinois,United States,World,
process22,17047,,Unit process,,population,6507,carbon sequestration,,93928.46178,,Illinois,United States,World,
process23,17049,,Unit process,,population,34174,carbon sequestration,,353540.7473,,Illinois,United States,World,
process24,17051,,Unit process,,population,21724,carbon sequestration,,644803.78,,Illinois,United States,World,
process25,17053,,Unit process,,population,13398,carbon sequestration,,14294.60977,,Illinois,United States,World,
process26,17055,,Unit process,,population,39127,carbon sequestration,,283983.7493,,Illinois,United States,World,
process27,17057,,Unit process,,population,35418,carbon sequestration,,932061.6384,,Illinois,United States,World,
process28,17059,,Unit process,,population,5157,carbon sequestration,,164834.4951,,Illinois,United States,World,
process29,17061,,Unit process,,population,13218,carbon sequestration,,414156.6955,,Illinois,United States,World,
process30,17063,,Unit process,,population,50509,carbon sequestration,,77824.64666,,Illinois,United States,World,
process31,17065,,Unit process,,population,8221,carbon sequestration,,281409.5766,,Illinois,United States,World,
process32,17067,,Unit process,,population,18112,carbon sequestration,,490261.4895,,Illinois,United States,World,
process33,17069,,Unit process,,population,4009,carbon sequestration,,310010.8921,,Illinois,United States,World,
process34,17071,,Unit process,,population,6884,carbon sequestration,,206134.9282,,Illinois,United States,World,
process35,17073,,Unit process,,population,49464,carbon sequestration,,162715.193,,Illinois,United States,World,
process36,17075,,Unit process,,population,28169,carbon sequestration,,88406.65755,,Illinois,United States,World,
process37,17077,,Unit process,,population,58551,carbon sequestration,,648242.4523,,Illinois,United States,World,
process38,17079,,Unit process,,population,9598,carbon sequestration,,243165.2766,,Illinois,United States,World,
process39,17081,,Unit process,,population,38169,carbon sequestration,,506817.9601,,Illinois,United States,World,
process40,17083,,Unit process,,population,22069,carbon sequestration,,382410.1507,,Illinois,United States,World,
process41,17085,,Unit process,,population,21834,carbon sequestration,,455429.1636,,Illinois,United States,World,
process42,17087,,Unit process,,population,12602,carbon sequestration,,528361.7648,,Illinois,United States,World,
process43,17089,,Unit process,,population,530839,carbon sequestration,,68504.34229,,Illinois,United States,World,
process44,17091,,Unit process,,population,111061,carbon sequestration,,58040.26031,,Illinois,United States,World,
process45,17093,,Unit process,,population,124626,carbon sequestration,,41754.4696,,Illinois,United States,World,
process46,17095,,Unit process,,population,50999,carbon sequestration,,434696.6894,,Illinois,United States,World,
process47,17097,,Unit process,,population,703619,carbon sequestration,,410368.4517,,Illinois,United States,World,
process48,17099,,Unit process,,population,110401,carbon sequestration,,196140.8123,,Illinois,United States,World,
process49,17101,,Unit process,,population,16189,carbon sequestration,,220813.4076,,Illinois,United States,World,
process50,17103,,Unit process,,population,34527,carbon sequestration,,122418.783,,Illinois,United States,World,
process51,17105,,Unit process,,population,36324,carbon sequestration,,51092.41618,,Illinois,United States,World,
process52,17107,,Unit process,,population,29207,carbon sequestration,,57413.54905,,Illinois,United States,World,
